매장명,주소,Unnamed: 2
지진실내구호소 모전중학교,부산 기장군 정관읍 정관1로 9,
지진옥외대피장소 대청중학교,부산 기장군 기장읍 차성서로 3,
지진옥외대피장소 신정중학교,부산 기장군 정관읍 정관3로 44,
지진옥외대피장소 모전중학교,부산 기장군 정관읍 정관1로 9,
지진옥외대피장소 부산중앙중학교,부산 기장군 정관읍 정관덕산길 73,
지진실내구호소 신정중학교,부산 기장군 정관읍 정관3로 44,
경남여자중학교,부산 동구 초량중로 142,
선화여자중학교,부산 동구 초량로80번길 5,
부산동여자중학교,부산 동구 망양로773번길 28,
부산서중학교,부산 동구 홍곡남로 29,
부산중학교,부산 동구 초량로40번길 29,
지진실내구호소 경남여자중학교,부산 동구 초량중로 142,
지진옥외대피장소 경남여자중학교,부산 동구 초량중로 142,
지진옥외대피장소 부산서중학교,부산 동구 홍곡남로 29,
지진옥외대피장소 부산중학교,부산 동구 초량로40번길 29,
여명중학교,부산 동래구 여고로52번길 9,
부산내성중학교,부산 동래구 중앙대로 1297,
온천중학교,부산 동래구 쇠미로129번길 28,
유락여자중학교,부산 동래구 금강로 51,
동래중학교,부산 동래구 충렬대로181번길 109,
동해중학교,부산 동래구 시실로 19-39,
안락중학교,부산 동래구 온천천로 513,
남일중학교,부산 동래구 온천천로531번길 49,
학산여자중학교,부산 동래구 충렬사로51번길 61,
사직중학교,부산 동래구 쇠미로51번길 30,
동신중학교,부산 동래구 충렬사로51번길 38,
사직여자중학교,부산 동래구 사직로 91,
충렬중학교,부산 동래구 명장로64번길 45,
혜화여자중학교,부산 동래구 명장로67번길 14-22,
지진옥외대피장소 여명중학교,부산 동래구 여고로52번길 9,
지진옥외대피장소 내성중학교,부산 동래구 중앙대로 1297,
지진옥외대피장소 유락여자중학교,부산 동래구 금강로 51,
지진옥외대피장소 남일중학교,부산 동래구 온천천로531번길 49,
지진옥외대피장소 충렬중학교,부산 동래구 명장로64번길 45,
지진옥외대피장소 사직중학교,부산 동래구 쇠미로51번길 30,
지진옥외대피장소 혜화여자중학교,부산 동래구 명장로67번길 14-22,
지진옥외대피장소 온천중학교,부산 동래구 쇠미로129번길 28,
지진옥외대피장소 동래중학교,부산 동래구 충렬대로181번길 109,
지진실내구호소 안락중학교,부산 동래구 온천천로 513,
지진옥외대피장소 사직여자중학교,부산 동래구 사직로 91,
지진실내구호소 충렬중학교,부산 동래구 명장로64번길 45,
지진옥외대피장소 동해중학교,부산 동래구 시실로 19-39,
지진옥외대피장소 학산여자중학교,부산 동래구 충렬사로51번길 61,
지진실내구호소 동신중학교,부산 동래구 충렬사로51번길 38,
지진옥외대피장소 안락중학교,부산 동래구 온천천로 513,
지진옥외대피장소 동신중학교,부산 동래구 충렬사로51번길 38,
화명중학교,부산 북구 금곡대로186번길 13,
화신중학교,부산 북구 산성로12번길 22,
백양중학교,부산 북구 상리로 70,
가람중학교,부산 북구 낙동북로663번길 55,
덕천중학교,부산 북구 만덕대로65번길 50,
만덕중학교,부산 북구 만덕1로 52,
구남중학교,부산 북구 백양대로1016번길 38,
구포중학교,부산 북구 백양대로1016번다길 31,
양덕여자중학교,부산 북구 시랑로21번길 178,
용수중학교,부산 북구 금곡대로229번길 88,
금명중학교,부산 북구 화명신도시로 210-1,
금곡중학교,부산 북구 효열로162번길 3,
신덕중학교,부산 북구 함박봉로140번가길 27,
명진중학교,부산 북구 학사로 192,
대천리중학교,부산 북구 산성로 87-15,
화명중학교부설방송통신중학교,부산 북구 금곡대로186번길 13,
지진옥외대피장소 양덕여자중학교,부산 북구 시랑로21번길 178,
지진옥외대피장소 구남중학교,부산 북구 백양대로1016번길 38,
지진옥외대피장소 금곡중학교,부산 북구 효열로162번길 3,
지진옥외대피장소 구포중학교,부산 북구 백양대로1016번다길 31,
지진옥외대피장소 대천리중학교,부산 북구 산성로 87-15,
지진실내구호소 가람중학교,부산 북구 낙동북로663번길 55,
지진옥외대피장소 화명중학교,부산 북구 금곡대로186번길 13,
지진옥외대피장소 화신중학교,부산 북구 산성로12번길 22,
지진실내구호소 용수중학교,부산 북구 금곡대로229번길 88,
지진옥외대피장소 가람중학교,부산 북구 낙동북로663번길 55,
지진옥외대피장소 백양중학교,부산 북구 상리로 70,
지진옥외대피장소 금명중학교,부산 북구 화명신도시로 210-1,
지진옥외대피장소 덕천중학교,부산 북구 만덕대로65번길 50,
지진옥외대피장소 용수중학교,부산 북구 금곡대로229번길 88,
지진실내구호소 명진중학교,부산 북구 학사로 192,
공중전화 만덕중학교,부산 북구 만덕1로 52,
지진실내구호소 금명중학교,부산 북구 화명신도시로 210-1,
지진실내구호소 신덕중학교,부산 북구 함박봉로140번가길 27,
지진옥외대피장소 명진중학교,부산 북구 학사로 192,
지진옥외대피장소 만덕중학교,부산 북구 만덕1로 52,
지진옥외대피장소 신덕중학교,부산 북구 함박봉로140번가길 27,
신라중학교,부산 사상구 백양대로700번길 35-8,
모라중학교,부산 사상구 백양대로 936,
엄궁중학교,부산 사상구 대동로 56,
학장중학교,부산 사상구 대동로140번길 60,
주례중학교,부산 사상구 가야대로378번길 68,
동주중학교,부산 사상구 주례로 107,
덕포여자중학교,부산 사상구 사상로310번길 110,
주례여자중학교,부산 사상구 가야대로306번길 55,
주감중학교,부산 사상구 백양대로 530,
모동중학교,부산 사상구 모라로192번길 51,
쏘카존 모라중학교,부산 사상구 백양대로 936,
지진옥외대피장소 덕포여자중학교,부산 사상구 사상로310번길 110,
지진옥외대피장소 엄궁중학교,부산 사상구 대동로 56,
지진옥외대피장소 신라중학교,부산 사상구 백양대로700번길 140,
지진실내구호소 모동중학교,부산 사상구 모라로192번길 51,
지진옥외대피장소 주례중학교,부산 사상구 가야대로378번길 68,
지진옥외대피장소 주감중학교,부산 사상구 백양대로 530,
지진옥외대피장소 모라중학교,부산 사상구 백양대로 936,
지진실내구호소 신라중학교,부산 사상구 백양대로700번길 35-8,
지진실내구호소 모라중학교,부산 사상구 백양대로 936,
지진실내구호소 엄궁중학교,부산 사상구 대동로 56,
지진옥외대피장소 동주중학교,부산 사상구 주례로 107,
지진실내구호소 주감중학교,부산 사상구 백양대로 530,
지진옥외대피장소 주례여자중학교,부산 사상구 가야대로306번길 55,
지진실내구호소 학장중학교,부산 사상구 대동로140번길 60,
지진실내구호소 동주중학교,부산 사상구 주례로 107,
지진옥외대피장소 학장중학교,부산 사상구 대동로140번길 60,
지진실내구호소 주례여자중학교,부산 사상구 가야대로306번길 55,
지진옥외대피장소 모동중학교,부산 사상구 모라로192번길 51,
하단중학교,부산 사하구 하신번영로380번길 88,
사하중학교,부산 사하구 낙동대로302번길 35,
당리중학교,부산 사하구 낙동대로356번길 22,
영남중학교,부산 사하구 다대로277번길 100,
하남중학교,부산 사하구 하신번영로 206,
장평중학교,부산 사하구 사하로 134-1,
대동중학교,부산 사하구 을숙도대로709번길 27,
다선중학교,부산 사하구 다대낙조2길 36,
동주여자중학교,부산 사하구 사리로8번길 28,
다대중학교,부산 사하구 다대로554번길 33,
두송중학교,부산 사하구 다송로 76,
감천중학교,부산 사하구 감천로73번길 60,
장림여자중학교,부산 사하구 두송로 64,
건국중학교,부산 사하구 승학로17번길 76-8,
다송중학교,부산 사하구 다송로 55,
삼성중학교,부산 사하구 감천로43번길 45-2,
