매장명,주소
덕문여자고등학교,부산 수영구 연수로310번길 114
지진옥외대피장소 덕문여자고등학교,부산 수영구 연수로310번길 114
지진옥외대피장소 부산동여자고등학교,부산 수영구 남천서로32번길 39
지진옥외대피장소 부산남일고등학교,부산 수영구 망미배산로48번길 85-23
지진옥외대피장소 부산여자상업고등학교,부산 수영구 금련로 43
지진실내구호소 덕문여자고등학교,부산 수영구 연수로310번길 114
계성여자고등학교,부산 연제구 해맞이로109번길 47
부산외국어고등학교,부산 연제구 고분로 144
연제고등학교,부산 연제구 쌍미천로30번길 31
이사벨고등학교,부산 연제구 중앙대로 1197
지진실내구호소 연제고등학교,부산 연제구 쌍미천로30번길 31
지진옥외대피장소 연제고등학교,부산 연제구 쌍미천로30번길 31
부산체육고등학교,부산 영도구 중리북로21번길 5
부산보건고등학교,부산 영도구 절영로 163
부산해사고등학교,부산 영도구 해양로 425
부산남고등학교,부산 영도구 중리북로 5
부산영상예술고등학교,부산 영도구 영상길 100
영도여자고등학교,부산 영도구 중리북로21번길 42
광명고등학교,부산 영도구 와치로 131
지진옥외대피장소 부산체육고등학교,부산 영도구 중리북로21번길 5
지진옥외대피장소 광명고등학교,부산 영도구 와치로 131
지진옥외대피장소 영도여자고등학교,부산 영도구 중리북로21번길 42
지진옥외대피장소 부산남고등학교,부산 영도구 중리북로 5
부산기계공업고등학교,부산 해운대구 해운대로 569
해운대공업고등학교,부산 해운대구 해운대로469번길 96
센텀고등학교,부산 해운대구 해운대로 246
영산고등학교,부산 해운대구 반송순환로 142-1
해운대고등학교,부산 해운대구 우동3로11번길 43
부산문화여자고등학교,부산 해운대구 해운대로469번길 50
해강고등학교,부산 해운대구 해운대해변로 33
부흥고등학교,부산 해운대구 좌동순환로 248
해운대여자고등학교,부산 해운대구 우동1로85번길 71
양운고등학교,부산 해운대구 양운로 176
부산골프고등학교,부산 해운대구 명장로67번길 121-6
부산센텀여자고등학교,부산 해운대구 해운대로469번길 50-1
신도고등학교,부산 해운대구 좌동순환로 64
반여고등학교,부산 해운대구 반여로 136
해운대관광고등학교,부산 해운대구 우동2로60번길 38
지진옥외대피장소 양운고등학교,부산 해운대구 양운로 176
지진옥외대피장소 해운대관광고등학교,부산 해운대구 우동2로60번길 38
지진옥외대피장소 영산고등학교,부산 해운대구 반송순환로 142-1
지진실내구호소 센텀고등학교,부산 해운대구 해운대로 246
지진옥외대피장소 부흥고등학교,부산 해운대구 좌동순환로 248
지진실내구호소 신도고등학교,부산 해운대구 좌동순환로 64
지진옥외대피장소 해운대공업고등학교,부산 해운대구 해운대로469번길 96
지진옥외대피장소 부산센텀여자고등학교,부산 해운대구 해운대로469번길 50-1
지진옥외대피장소 해운대고등학교,부산 해운대구 우동3로11번길 43
지진실내구호소 해강고등학교,부산 해운대구 해운대해변로 33
지진옥외대피장소 부산문화여자고등학교,부산 해운대구 해운대로469번길 50
지진실내구호소 부산문화여자고등학교,부산 해운대구 해운대로469번길 50
지진옥외대피장소 센텀고등학교,부산 해운대구 해운대로 246
지진옥외대피장소 해운대여자고등학교,부산 해운대구 우동1로85번길 71
롯데ATM BNK부산은행 해운대고등학교,부산 해운대구 우동 278-3
지진옥외대피장소 해강고등학교,부산 해운대구 해운대해변로 17
지진옥외대피장소 신도고등학교,부산 해운대구 좌동순환로 64
지진옥외대피장소 반여고등학교,부산 해운대구 반여로 136
지진실내구호소 반여고등학교,부산 해운대구 반여로 136
동주여자고등학교,부산 중구 광복중앙로 18
남성여자고등학교,부산 중구 샘길 14
부산디지털고등학교,부산 중구 망양로 356
혜광고등학교,부산 중구 망양로259번길 5
지진옥외대피장소 남성여자고등학교,부산 중구 동광길 61-2
지진옥외대피장소 부산디지털고등학교,부산 중구 망양로 356
지진옥외대피장소 혜광고등학교,부산 중구 망양로259번길 5
지진실내구호소 부산디지털고등학교,부산 중구 망양로 356
