매장명,주소
지진실내구호소 남부민초등학교,부산 서구 천마로 153
지진실내구호소 토성초등학교,부산 서구 구덕로134번길 45
지진실내구호소 부산알로이시오초등학교,부산 서구 천해로13번길 16-9
지진옥외대피장소 남부민초등학교,부산 서구 천마로 153
지진실내구호소 아미초등학교,부산 서구 해돋이로 241
지진실내구호소 구덕초등학교,부산 서구 보수대로 312
지진옥외대피장소 부민초등학교,부산 서구 고운들로 12
지진옥외대피장소 아미초등학교,부산 서구 아미로 132-1
지진옥외대피장소 알로이시오초등학교,부산 서구 천해로13번길 16-9
지진옥외대피장소 대신초등학교,부산 서구 꽃마을로 25
지진옥외대피장소 화랑초등학교,부산 서구 대영로86번길 56
지진실내구호소 동신초등학교,부산 서구 대영로85번길 81-19
지진실내구호소 대신초등학교,부산 서구 대신로 63
지진옥외대피장소 송도초등학교,부산 서구 충무대로 25
지진실내구호소 송도초등학교,부산 서구 충무대로 25
지진옥외대피장소 동신초등학교,부산 서구 대영로85번길 81-19
수영초등학교,부산 수영구 광서로16번길 33
망미초등학교,부산 수영구 수미로35번길 27
광남초등학교,부산 수영구 광안해변로 115
민락초등학교,부산 수영구 광남로257번길 12
광안초등학교,부산 수영구 광안로35번길 42
남천초등학교,부산 수영구 남천서로 14
민안초등학교,부산 수영구 감포로38번길 33
배산초등학교,부산 수영구 망미배산로48번길 85-15
수미초등학교,부산 수영구 연수로310번길 91
호암초등학교,부산 수영구 호암로 57
지진실내구호소 스포츠클럽체육관(민락초등학교,부산 수영구 광남로257번길 12
지진옥외대피장소 망미초등학교,부산 수영구 수미로35번길 27
지진옥외대피장소 민안초등학교,부산 수영구 감포로38번길 33
연산초등학교,부산 연제구 월드컵대로 41
창신초등학교,부산 연제구 종합운동장로12번길 15
연제초등학교,부산 연제구 중앙대로1065번길 14
거제초등학교,부산 연제구 해맞이로 39
연천초등학교,부산 연제구 과정로225번길 46
연서초등학교,부산 연제구 거제천로270번길 30
연신초등학교,부산 연제구 신금로23번길 30
연일초등학교,부산 연제구 고분로 126-4
남문초등학교,부산 연제구 법원북로 23
연동초등학교,부산 연제구 고분로56번길 40
과정초등학교,부산 연제구 과정로164번길 37
연미초등학교,부산 연제구 금련로38번길 84
거학초등학교,부산 연제구 교대로24번길 36
동명초등학교,부산 연제구 쌍미천로44번길 17
부산교육대학교 부설초등학교,부산 연제구 교대로 24
토현초등학교,부산 연제구 토현로 48
지진옥외대피장소 거제초등학교,부산 연제구 해맞이로 39
청동초등학교,부산 영도구 태종로422번길 51
청학초등학교,부산 영도구 청학로 49
동삼초등학교,부산 영도구 태종로 610
