매장명,주소
전농중학교,서울 동대문구 사가정로13길 71
전동중학교,서울 동대문구 장안벚꽃로 291
전일중학교,서울 동대문구 사가정로13길 67
정신여자중학교,서울 송파구 올림픽로4길 16
정원여자중학교,서울 서대문구 연희로37안길 51
정의여자중학교,서울 도봉구 노해로49길 69
정화여자중학교,서울 동대문구 홍릉로15길 50
종암중학교,서울 성북구 종암로5길 80-17
중계중학교,서울 노원구 덕릉로76길 23
중동중학교,서울 강남구 일원로8길 37
중랑중학교,서울 중랑구 동일로140길 33
중암중학교,서울 마포구 월드컵북로38길 25
중앙대학교 사범대학 부속중학교,서울 동작구 서달로 124
중앙여자중학교,서울 서대문구 북아현로11가길 7
중앙중학교,서울 종로구 창덕궁길 164
중원중학교,서울 노원구 공릉로 420
중평중학교,서울 노원구 동일로203길 87
중화중학교,서울 중랑구 용마산로 364
증산중학교,서울 은평구 증산로5길 27-30
진관중학교,서울 은평구 진관4로 36
진선여자중학교,서울 강남구 선릉로85길 27
창덕여자중학교,서울 중구 정동길 22
창동중학교,서울 도봉구 방학로 32
창문여자중학교,서울 강북구 월계로 61
창북중학교,서울 도봉구 노해로62길 33
창일중학교,서울 도봉구 노해로66길 60
창천중학교,서울 마포구 백범로1길 56
천왕중학교,서울 구로구 천왕로 63
천일중학교,서울 강동구 천중로 57
천호중학교,서울 강동구 상암로 153
청담중학교,서울 강남구 압구정로61길 36
청량중학교,서울 동대문구 왕산로 301
청운중학교,서울 종로구 창의문로 51
청원중학교,서울 노원구 한글비석로 506
충암중학교,서울 은평구 가좌로5길 5
태랑중학교,서울 노원구 화랑로51나길 51
태릉중학교,서울 중랑구 공릉로2길 60-25
풍납중학교,서울 송파구 올림픽로43길 20
풍성중학교,서울 송파구 강동대로2길 27
하계중학교,서울 노원구 노원로 261-8
한강중학교,서울 용산구 녹사평대로 73
한국삼육중학교,서울 노원구 화랑로 815
한산중학교,서울 강동구 풍성로 251
한성여자중학교,서울 성북구 삼선교로16길 118
한성중학교,서울 서대문구 북아현로1길 24
한양대학교사범대학부속중학교,서울 성동구 마조로 42
한양중학교,서울 중구 을지로 299
한영중학교,서울 강동구 동남로 832
한울중학교,서울 금천구 독산로50길 60
한천중학교,서울 노원구 공릉로 265
항동중학교,서울 구로구 연동로 239-2
해누리중학교,서울 송파구 송파대로37길 95
행당중학교,서울 성동구 왕십리로 189
혜원여자중학교,서울 중랑구 봉우재로58길 39
홍은중학교,서울 서대문구 연희로41길 94
홍익대학교 사범대학 부속여자중학교,서울 마포구 성미산로 51
홍익대학교 사범대학 부속중학교,서울 성북구 성북로14가길 23
화계중학교,서울 강북구 화계사길 63
화곡중학교,서울 강서구 강서로45길 70
화원중학교,서울 강서구 강서로17나길 86
환일중학교,서울 중구 환일길 47
효문중학교,서울 도봉구 우이천로 432
휘경여자중학교,서울 동대문구 한천로 247
휘경중학교,서울 동대문구 망우로18나길 20
휘문중학교,서울 강남구 역삼로 541
