매장명,주소
부산가톨릭대학교 김종륜 루카관(SC),부산 금정구 기찰로102번길 56-7
부산가톨릭대학교 대학원,부산 금정구 오륜대로 57 대학본부관 406호
부산가톨릭대학교 방송국,부산 금정구 오륜대로 57 학생회관 329호
부산가톨릭대학교 부산가톨릭음악교육원,부산 금정구 기찰로102번길 56-7 이양등 베드로관
부산가톨릭대학교 신문사,부산 금정구 오륜대로 57 학생회관 327호
부산가톨릭대학교 지산교정운동장,부산 금정구 부곡동 9-84
부산가톨릭대학교 출입구2,부산 금정구 부곡동 904-3
부산경상대학교,부산 연제구 고분로 170
부산경상대학교 기숙사,부산 연제구 톳고개로 8
부산경상대학교 멀티미디어관,부산 연제구 토곡로 74
부산경상대학교 반려동물교육문화센터,부산 연제구 고분로 181
부산경상대학교 주차장1,부산 연제구 연산동 410-6
부산과학기술대학교 교내서점,부산 북구 시랑로132번길 88 부산과학기술대학교 학생복지센터 1층
부산과학기술대학교 산학멀티몰,부산 강서구 과학산단2로3번길 56
부산과학기술대학교 자동차공학관,부산 북구 낙동북로772번가길 24-10
부산과학기술대학교 테니스장,부산 북구 구포동 870-32
부산과학기술대학교 학생서비스센터,부산 북구 시랑로132번길 88 학생복지센터 2층
부산교육대학교 교수학습지원센터,부산 금정구 금강로279번길 91
부산교육대학교 교육대학원,부산 연제구 교대로 24 5층
부산교육대학교 다문화교육원,부산 연제구 교대로 24 교수학습지원관 4층
부산교육대학교 산학협력단,부산 연제구 거제동 205
부산교육대학교 생활관1관,부산 연제구 여고로 78-5
부산교육대학교 서문,부산 연제구 거제동
부산교육대학교 소극장,부산 연제구 교대로 24 2층
부산교육대학교 우편취급국,부산 연제구 교대로 24 부산교육대학교 인문사회관 1층
부산교육대학교 정문,부산 연제구 거제동 285-1
부산교육대학교 정보전산원,부산 연제구 교대로 24 학술정보관 5층
부산교육대학교 제1체육관,부산 연제구 황새알로 3-3
부산교육대학교 제2체육관,부산 연제구 미남로18번길 21
부산교육대학교 테니스장,부산 연제구 황새알로 3-2
부산교육대학교 평생교육원,부산 연제구 교대로 24 평생교육관 1106호
부산교육대학교부설초등학교 행정실,부산 연제구 법원북로 77
부산대학교,부산 금정구 부산대학로63번길 2-1
부산대학교 LINC3.0 사업단,부산 금정구 부산대학로63번길 2 문창회관 208호
부산대학교 PNU연구실,부산 금정구 부산대학로63번길 2 부산대학교 대학본부 사무국 시설과
부산대학교 가스터빈실험실,부산 금정구 금샘로18번길 56-36 기계관 721호
부산대학교 건축공학과,부산 금정구 부산대학로63번길 2 부산대학교 401 건설관 8F
부산대학교 건축학과,부산 금정구 부산대학로63번길 2 9층
부산대학교 경영관,부산 금정구 수림로 135
부산대학교 경영대학원총동창회,부산 동래구 명안로85번길 42
부산대학교 경제통상연구원,부산 금정구 부산대학로63번길 2 국제관 912호
부산대학교 공학교육혁신센터,부산 금정구 부산대학로63번길 2 제11공학관 조선해양관 4층
부산대학교 과학기술연구동,부산 금정구 수림로 132
부산대학교 과학영재교육원,부산 금정구 부산대학로63번길 2 공동연구소동 7층 713호
부산대학교 교양교육원,부산 금정구 부산대학로63번길 2 부산대학교 성학관 3층
부산대학교 교육인증지원센터,부산 금정구 부산대학로63번길 2 제11공학관
부산대학교 기계공학부,부산 금정구 부산대학로63번길 2 기계관
부산대학교 도시기후연구실,부산 금정구 부산대학로63번길 2 부산대학교 자연대연구실험동 518호
부산대학교 동문장학회관,부산 동래구 충렬대로 118
부산대학교 물리학과,부산 금정구 부산대학로63번길 2 제1물리관 102호
부산대학교 방송국,부산 금정구 부산대학로63번길 2 부산대학교 문창회관 4층
부산대학교 보육종합센터,부산 금정구 금강로321번길 63
부산대학교 부산캠퍼스 공동실험실습관,부산 금정구 부산대학로63번길 2 312건물
부산대학교 부산캠퍼스 기초과학연구원,부산 금정구 부산대학로63번길 2 6층
부산대학교 분자생물학과,부산 금정구 부산대학로63번길 2 공동실험실습관 608호
부산대학교 브이스페이스,부산 금정구 부산대학로63번길 2 부산대학교 통합기계관 208호
부산대학교 사물인터넷연구센터,부산 금정구 부산대학로63번길 2 부산대학교 제6공학관 6512호
부산대학교 사범대학 부설고등학교,부산 금정구 기찰로22번길 30
부산대학교 산업대학원,부산 금정구 부산대학로63번길 2 재료관
부산대학교 산학협력단,부산 금정구 부산대학로63번길 2 부산대학교 삼성산학협동관
부산대학교 상남국제회관,부산 금정구 금강로279번길 92
부산대학교 생명자원과학대학 제1학술림,부산 기장군 철마면 철마천로 101
부산대학교 생활환경대 실험실습동,부산 금정구 금샘로 66
부산대학교 소비자생활협동조합,부산 금정구 부산대학로63번길 2 부산대학교
부산대학교 수학교육과,부산 금정구 부산대학로63번길 2 공동연구소동
부산대학교 아미동캠퍼스,부산 서구 구덕로 179
부산대학교 언어교육원 TPC센터,부산 금정구 부산대학로63번길 2 NC백화점 7층
부산대학교 언어교육원 테솔운영실,부산 금정구 부산대학로63번길 2 NC백화점 부산대점 7층 701호
부산대학교 예다방,부산 금정구 부산대학로63번길 2 예술관 1층
부산대학교 예술영재교육원,부산 금정구 부산대학로63번길 2 부산대학교 예술관 331호
부산대학교 우편취급국,부산 금정구 부산대학로63번길 2 부산대학교 문창회관 2층
부산대학교 의과대학 동창회,부산 서구 구덕로 187 융합의학연국동 7층
부산대학교 임베디드시스템연구실,부산 금정구 부산대학로63번길 2 부산대학교 자연대연구실험동 314호
부산대학교 장애학생지원센터,부산 금정구 부산대학로63번길 2 203호
부산대학교 전기차충전소,부산 금정구 부산대학로63번길 2 자유관 뒤 빌딩 4층 주차장
부산대학교 젊음의거리,부산 금정구 장전동 426
부산대학교 주차장15,부산 금정구 장전동 산 22-1
부산대학교 주차장16,부산 금정구 수림로 133
부산대학교 중국연구소,부산 금정구 부산대학로63번길 2 부산대학교 성학관 502호
부산대학교 지반시스템연구실,부산 금정구 부산대학로63번길 2 부산대학교내
부산대학교 지질박물관,부산 금정구 부산대학로63번길 2 지구관 1층
부산대학교 첨단영상교육센터,부산 금정구 부산대학로63번길 2 학생회관 209호
부산대학교 청소년창의기술인재센터,부산 금정구 부산대학로63번길 2 부산대학교 제11공학관 403호
부산대학교 취업전략과,부산 금정구 부산대학로63번길 2 문창회관 2층
부산대학교 컬러변조초감각인지기술선도연구센터,부산 금정구 부산대학로63번길 2 과학기술연구동 101호
부산대학교 하이브리드 프로세스연구실,부산 금정구 부산대학로 63 효원산학협동관 융합학부 610호
부산대학교 학군단,부산 금정구 부산대학로63번길 2 605
부산대학교 해동학술정보실,부산 금정구 부산대학로63번길 2 제8공학관 2층
부산대학교 해양생물연구실,부산 금정구 부산대학로63번길 2 부산대학교 해양과학과 공동실험실습관 804호
