학교이름,행정동명
가람중학교,구포2동
내리초등학교,기장읍
부산내성중학교?,온천3동 
양덕여자중학교,구포1동
경혜여자고등학교,구포1동
학산여자중학교,명장2동 
동신중,명장2동 
학산여자고등학교?,명장2동 
내성초등학교,복산동 
혜화여자중학교,반여4동
백양초등학교,만덕2동
만덕고등학교,만덕2동
미남초,온천3동 
덕양초등학교,만덕2동
온천중학교?,온천3동 
29,반여4동
26,반여4동
123,반여4동
양덕초등학교,구포1동
동래중학교?,명륜동 
28,반여4동
명장초,복산동 
내산초등학교?초등학교,온천2동 
백양중학교,만덕2동
금정고등하교,명장1동 
양천초등학교,덕천3동
덕천초등학교,구포1동
온샘초,온천2동 
9,반여1동
온천초,온천2동 
동상초등학교,서2동
명륜초,온천1동 
백산초등학교,만덕2동
용인고,명장2동 
덕성초등학교,덕천2동
화정초등학교,덕천2동
명서초,명륜동 
덕천중학교,덕천1동
만덕초등학교,만덕1동
만덕중학교,만덕1동
유락여자중학교,온천1동 
동래원예고등학교?,온천1동 
서명초등학교,서1동
동현중학교,서3동
전자공업고,온천1동 
상학초등학교,만덕1동
덕천여자중학교 (폐교),덕천2동
낙동고등학교,덕천2동
교동초,명륜동 
동해중,명륜동 
대명여자고,명륜동 
금사중학교,서3동
금정전자고등학교,서3동
부산경호고등학교,서3동
금정여자고등학교,서1동
내성고등학교,부곡4동
동현초등학교,부곡1동
서동초등학교,부곡1동
부산정보관광고등학교,부곡1동
10,반송1동
부곡여자중학교,부곡1동
123,반송1동
용암초등학교,기장읍
부산명덕초등학교,화명1동
화명중학교,화명1동
30,반송1동
금정초등학교,장전2동
부산예원고등학교,금사회동동
현곡초등학교,부곡2동
금사초등학교,부곡2동
18,반송2동
31,반송2동
금빛초등학교,장전2동
부곡중학교,부곡2동
용수중학교,화명3동
장전중학교,장전2동
와석초등학교,화명1동
23,반송2동
학사초등학교,화명3동
부곡초등학교,부곡2동
금양중학교,부곡2동
부산대학교 사범대학 부설고등학교,부곡2동
16,반송2동
화잠초등학교,화명1동
화신중학교,화명2동
죽성초등학교,기장읍
기장고등학교,기장읍
화명고등학교,화명3동
명진중학교,화명3동
장전초등학교,장전1동
대진전자통신고등학교,장전1동
신진초등학교,철마면
대천리초등학교,화명2동
대천리중학교,화명2동
용수초등학교,금곡동
금명초등학교,금곡동
명진초등학교,금곡동
금명중학교,금곡동
금곡고등학교,금곡동
금양초등학교,부곡3동
화명초등학교,화명2동
지산고등학교,부곡3동
금명여자고등학교,화명2동
기장초등학교,기장읍
기장중학교,기장읍
교리초등학교,기장읍
대청초등학교,기장읍
대청중학교,기장읍
장서초등학교,구서1동
구서여자중학교,구서1동
동래초등학교,구서1동
금성초등학교,금성동
두실초등학교,구서2동
구서초등학교,구서2동
남산중학교,남산동
일광중학교,일광읍
금곡중학교,금곡동
남산초등학교,남산동
부산과학고등학교,구서2동
금곡초등학교,금곡동
신금초등학교,금곡동
해빛초등학교,일광읍
금창초등학교,금곡동
부산일광초등학교,일광읍
남산고등학교,남산동
금샘초등학교,남산동
청룡초등학교,청룡노포동
부산삼육초등학교,청룡노포동
철마초등학교,철마면
금정중학교,선두구동
동래여자중학교,선두구동
부산예술중학교,선두구동
브니엘예술중학교,선두구동
브니엘고등학교,선두구동
부산예술고등학교,선두구동
동래여자고등학교,선두구동
브니엘예술고등학교,선두구동
브니엘여자고등학교,선두구동
좌천초등학교,장안읍
장안중학교,장안읍
장안제일고등학교,장안읍
방곡초등학교,정관읍
부산중앙중학교,정관읍
부산장안고등학교,장안읍
월내초등학교,장안읍
가동초등학교,정관읍
신정중학교,정관읍
신정고등학교,정관읍
모전초등학교,정관읍
모전중학교,정관읍
신정초등학교,정관읍
달산초등학교,정관읍
정원초등학교,정관읍
정관초등학교,정관읍
정관중학교,정관읍
정관고등학교,정관읍
장안초등학교,장안읍
월평초등학교,정관읍
명지초등학교,명지1동
명호초등학교,명지1동
명문초등학교,명지1동
가락초등학교,가락동
송정초등학교,녹산동
명원초등학교,명지1동
녹산초등학교,녹산동
신호초등학교,녹산동
신명초등학교,명지1동
대저초등학교,대저1동
녹명초등학교,명지1동
덕두초등학교,대저2동
대상초등학교,대저1동
남명초등학교,명지2동
배영초등학교,대저2동
오션초등학교,명지2동
명일초등학교,명지1동
대사초등학교,강동동
천가초등학교,가덕도동
낙동중학교,대저1동
경일중학교,명지1동
