총반납대여,시설물개수,인구밀도,하천,자동차등록대수,자전거도로,지하철_총승객수,학교개수,영화관개수,대학교개수,강,행정동명,cluster,,,,,,
0.523155103,-1.095057392,-0.486389709,-0.577350269,-0.482344709,-0.130686656,0.227141147,-0.648724346,-0.675570765,1.239988238,-0.468521286,청량리동,5,,,,,,
0.518893949,1.435242102,1.146252735,-0.577350269,0.80573172,0.747761327,0.225592016,-0.93077841,-0.675570765,-0.329617127,-0.468521286,석촌동,3,,,,,,
0.517509752,0.029520161,0.639797697,-0.577350269,-0.834662841,0.373604745,-0.656851973,-0.648724346,0.649077794,-0.329617127,-0.468521286,구의3동,3,,,,,,
0.516315543,1.294669908,1.592305742,-0.577350269,1.298455471,0.981077719,-0.18686321,2.735924418,0.649077794,-0.329617127,-0.468521286,등촌3동,2,,,,,,
0.511321579,-0.251624227,-1.640426027,-0.577350269,1.298455471,0.981077719,1.974864496,-0.648724346,0.649077794,-0.329617127,-0.468521286,방화2동,2,,,,,,
0.495688299,0.170092355,-1.713247168,-0.577350269,1.10175887,-0.522457753,-0.656851973,-0.366670283,-0.675570765,-0.329617127,-0.468521286,양재2동,2,,,,,,
0.488007364,2.278675266,-1.286293245,-0.577350269,1.10175887,-0.522457753,-0.656851973,0.197437845,-0.675570765,2.809593602,-0.468521286,양재1동,5,,,,,,
0.486460321,-0.954485198,0.051113102,-0.577350269,-1.259365044,-1.142404698,-0.529138568,-0.366670283,-0.675570765,-0.329617127,-0.468521286,마장동,3,,,,,,
0.475278183,-0.813913004,0.347195957,-0.577350269,0.341094836,1.247345401,-0.433018522,-0.084616219,-0.675570765,-0.329617127,-0.468521286,둔촌2동,3,,,,,,
0.461816192,-0.532768616,-0.57934486,-0.577350269,-0.544689513,-2.120861052,-0.656851973,-0.366670283,-0.675570765,1.239988238,-0.468521286,신내1동,5,,,,,,
0.44710571,-0.954485198,0.618252424,-0.577350269,0.058012816,0.652096292,0.462943184,-0.93077841,-0.675570765,-0.329617127,-0.468521286,당산1동,3,,,,,,
0.433996553,-0.532768616,1.000045949,-0.577350269,-0.544689513,-2.120861052,-0.656851973,-1.212832474,0.649077794,-0.329617127,-0.468521286,상봉2동,3,,,,,,
0.415622021,-0.111052033,1.890364364,1.732050808,-0.766703467,-1.825324425,-0.432319534,-0.366670283,0.649077794,-0.329617127,-0.468521286,방학1동,4,,,,,,
