학교이름,행정동명,,,
늘봄어린이공원,대연1동 ,,,
중앙약수터체육공원,대연1동 ,,,
연포하늘공원,대연1동 ,,,
대일어린이공원,대연1동 ,,,
못골어린이공원,대연1동 ,,,
대연6구역소공원,대연1동 ,,,
대연6구역어린이공원2,대연1동 ,,,
냉수욕터 체육공원,대연1동 ,,,
대연6구역어린이공원1,대연1동 ,,,
물만골체육공원,대연3동 ,,,
아이파크PC방 CS점,대연3동 ,,,
3POP PC CAFE 경성대점,대연3동 ,,,
용소마을쌈지공원,대연3동 ,,,
코지PC,대연3동 ,,,
부경대학교어린이집,대연3동 ,,,
대연혁신도시어린이공원,대연3동 ,,,
재한유엔기념공원 상징구역,대연4동 ,,,
UN조각공원,대연4동 ,,,
옥스PC 못골점,대연6동 ,,,
낙동강둔치공원,대저1동,,,
대저생태공원,대저1동,,,
대저수문생태공원,대저1동,,,
서연정공원,대저1동,,,
통일무궁화공원,대저1동,,,
강서체육공원,대저1동,,,
금호공원,대저2동,,,
덕두공원,대저2동,,,
맥도생태공원 게이트볼장,대저2동,,,
상방공원,대저2동,,,
새동내어린이공원,대저2동,,,
용두어린이공원,대저2동,,,
맥도생태공원,대저2동,,,
중앙대청공원,대청동,,,
복병산체육공원 운동장1,대청동,,,
덕천근린공원,덕천1동,,,
화명생태공원,덕천1동,,,
덕천생활체육공원,덕천1동,,,
철쭉어린이공원,덕천1동,,,
덕천휴근린공원,덕천1동,,,
덕천소공원,덕천1동,,,
쉼터어린이공원,덕천1동,,,
덕천어린이공원,덕천1동,,,
꿈나래어린이공원,덕천1동,,,
남산정공원,덕천1동,,,
의성2소공원,덕천1동,,,
덕내어린이공원,덕천1동,,,
숙등어린이공원,덕천1동,,,
기비골어린이공원,덕천1동,,,
의성1소공원,덕천2동,,,
동심공원,덕천3동,,,
꿈꾸는어린이공원,덕천3동,,,
덕포체육공원,덕포2동,,,
부산도서관문화공원,덕포2동,,,
부원쌈지공원,덕포2동,,,
하강선대어울림공원,덕포2동,,,
덕포공원,덕포2동,,,
모라지구공원,덕포2동,,,
복병산체육공원,동광동,,,
용두산공원 공영주차장,동광동,,,
오름소공원,동광동,,,
민주공원,동대신2동,,,
대신공원 산책로,동대신3동,,,
부산생활체육공원,동대신3동,,,
닥밭골 방재공원 2호,동대신3동,,,
BMC와치공원,동삼1동,,,
영도어울림문화공원,동삼1동,,,
