행정동명,행정동_코드,총반납대여,시설물개수,구,인구 (명),면적 (㎢),인구밀도 (명/㎢),강,하천,자동차등록대수,자전거도로(km),지하철_총승객수,버스_총승객수,학교개수,영화관개수,대학교개수
양평2동,11560620,49521,4,영등포구,22583,3,7528,한강,안양천,8161.119908,3.791600407,437948,582218,3,,
양평1동,11560610,48913,3,영등포구,18704,0.88,21255,,안양천,6759.313942,3.140330957,577719,309118,1,,
당산1동,11560550,34330,6,영등포구,20740,0.75,27653,,,7495.090417,3.482167668,2741062,437143,1,,
영등포본동,11560515,31275,9,영등포구,22714,1.02,22269,,,8208.461125,3.813594812,2391986,379193,5,,
한강로동,11170625,54153,14,용산구,22886,2.9,7892,한강,,7662.636356,3.418002766,6963977,1610947,3,2,
진관동,11380690,46255,19,은평구,55034,11.53,4773,,,15058.15939,5.299288479,1163598,1313228,17,1,
응암1동,11380580,44391,9,은평구,33279,1.2,27733,,,9105.652622,3.204473985,1766865,886598,2,,
녹번동,11380510,29207,12,은평구,36884,1.79,20606,,,10092.03676,3.551603668,1036300,872203,2,,
종로1.2.3.4가동,11110615,99611,29,종로구,8700,2.35,3702,,,2737.062694,1.982170614,11550312,3700523,2,4,5
사직동,11110530,48410,17,종로구,9355,1.23,7606,,,2943.128908,2.131402999,,1464686,3,,
혜화동,11110650,32034,8,종로구,19392,1.12,17314,,,6100.818363,4.418189948,2014877,976690,7,1,
명동,11140550,50451,18,중구,3638,0.99,3675,,,1366.467791,0.57598281,3618220,1471245,3,1,
광희동,11140590,29212,20,중구,6682,0.74,9030,,,2509.823469,1.057921149,1755720,705689,1,2,1
신내1동,11260680,34872,9,중랑구,38205,2.56,14924,,,10553.97853,0.975818831,,771760,3,,1
상봉2동,11260590,33847,9,중랑구,20612,0.65,31711,,,5693.982606,0.52646454,,647843,,1,
망우본동,11260655,30329,14,중랑구,35905,3.03,11850,,,9918.612723,0.917073031,407167,1002543,11,,1
