시설물개수,인구밀도,하천,자동차등록대수,자전거도로,지하철_총승객수,학교개수,영화관개수,대학교개수,강,행정동명,cluster
0.212121212,0.439845112,0,0.720524315,0.805169753,0.175958266,0.294117647,0,0,0,영등포본동,3
0.333333333,0.618713344,1,0.888987768,0.832947531,0.027266041,0.058823529,0,0,0,잠실본동,4
0.272727273,0.250379294,0,1,0.900694444,0,0.176470588,0,0,1,가양2동,0
0.363636364,0.275152284,0,0.955683629,0.46412037,0.019964171,0.117647059,0,0,1,잠원동,0
0.121212121,0.451756074,0,1,0.900694444,0,0.058823529,0,0,0,화곡6동,2
0.151515152,0.723058808,0,0.534713106,0.085813492,0.215168206,0.176470588,0.5,0,0,창5동,3
0.363636364,0.203912955,0,0.584733558,0,0.029951847,0.647058824,0,0.2,0,망우본동,5
0.03030303,0.763094133,1,0.775513425,0.701774691,0,0.352941176,0,0,0,신정2동,4
0,0.251511515,1,0.423714882,0.284109477,0,0.058823529,0,0,0,송정동,4
0.121212121,0.467516587,1,0.598780041,0.577876984,0,0.647058824,0,0.2,0,휘경2동,4
0.272727273,0.335001472,0,0.654374638,1,0.04469859,0,0,0.2,1,서강동,0
0.181818182,0.475623288,1,0.654374638,1,0,0.117647059,0,0,0,성산1동,4
0.545454545,0.140055705,0,0.136163122,0.244675926,0.129153535,0.058823529,0.5,0.2,0,광희동,5
0.303030303,0.40218745,0,0.776007721,0.605902778,0.076231864,0.117647059,0,0,0,녹번동,3
0.242424242,0.664251262,0,0.719471775,0.46875,0.330925589,0.235294118,0,0,0,상계2동,3
