행정동명,인구밀도,시설물개수,자동차등록대수,강,하천,자전거도로,지하철승하차합계,학교개수,영화관개수,대학교개수
재송2동,13029.05028,8,11079.22842,,,3.919873445,,4,,
대저1동,369.4915254,6,4225.457387,낙동강,평강천,5.039645781,605694,4,,
대저2동,241.4675768,10,4746.929443,낙동강,평강천,5.661598437,,4,,
대저2동,241.4675768,10,4746.929443,낙동강,맥도강,5.661598437,,4,,
강동동,227.7297297,1,2810.929585,낙동강,평강천,3.352557635,,1,,
명지1동,4300.725806,31,37799.75248,낙동강,,45.08325269,,13,2,
명지2동,9196.969697,14,21018.53072,낙동강,,25.06851684,,3,,
가락동,123.3157895,2,1532.347026,낙동강,,1.827609538,,3,,
녹산동,619.9648506,48,24642.3432,낙동강,,29.39058889,,5,,
가덕도동,161.4634146,2,2953.149273,,,3.52218113,,3,,
