대여소번호,보관소(대여소)명,자치구,상세주소,위도,경도
1120,대림경동아파트앞,강서구,서울특별시 강서구 가양동 1474 대림경동아파트,37.55947876,126.8643799
1121,가양레포츠센터앞,강서구,서울특별시 강서구 가양동 1493,37.56193161,126.8638687
1122,황금내근린공원,강서구,서울특별시 강서구 가양동 1485-5 공원관리사무실,37.55817795,126.8384552
1124,발산역 6번 출구 뒤,강서구,서울특별시 강서구 내발산동 645-1,37.55291367,126.8365707
1125,명덕고교입구(영종빌딩),강서구,서울특별시 강서구 내발산동 677-11 영종빌딩,37.54890823,126.8365631
1126,우장산역 1번출구옆(우장산아이파크105동앞),강서구,서울특별시 강서구 화곡동 1089-3 우장산역 5호선,37.54098129,126.8385468
1127,화곡역(에이스정형외과앞) 버스정류장,강서구,서울특별시 강서구 화곡동 1065-9 Roi빌딩,37.54141235,126.8402252
1128,화곡역 6번출구,강서구,서울특별시 강서구 화곡동 1089-54 화곡역 5호선,37.542099,126.8402176
1129,화곡역 1번 출구 앞,강서구,서울특별시 강서구 화곡동 1089-54 화곡역 5호선,37.54275131,126.8426209
1130,화곡본동시장 버스정류장,강서구,서울특별시 강서구 화곡동 109-16,37.54644394,126.845459
1131,꿈돌이공원 앞,강서구,서울특별시 강서구 화곡동 24-322 진성빌딩,37.55110931,126.8637085
1132,등촌역 7번출구,강서구,서울특별시 강서구 등촌동 666-94 등촌역9호선,37.54653168,126.8625488
1135,강서구의회,강서구,서울특별시 강서구 등촌동 512-1 강서구의회회관,37.54478836,126.8619995
1136,등촌2파출소,강서구,서울특별시 강서구 등촌동 513-6,37.54143143,126.8632202
1137,등촌2동주민센터,강서구,서울특별시 강서구 등촌동 560-12 등촌2동주민센터,37.53650665,126.8633347
1139,용문사 버스정류장,강서구,서울특별시 강서구 등촌동 564-2 대일빌딩,37.53139877,126.8636093
1140,목동사거리 버스정류장,강서구,서울특별시 강서구 화곡동 781-4 수남빌딩,37.52906036,126.8484802
1141,곰달래 문화복지센터 1-1,강서구,서울특별시 강서구 화곡동 890 복지문화센터및공영주차장,37.52891922,126.8480835
1145,곰달래 문화복지센터 1-2,강서구,서울특별시 강서구 화곡동 890 복지문화센터및공영주차장,37.53033829,126.8382568
1146,곰달래사거리,강서구,서울특별시 강서구 화곡동 357-25,37.54146957,126.84478
1148,볏골공원,강서구,서울특별시 강서구 화곡동 98-99 볏골공원 지하주차장,37.56728363,126.8182755
1149,신방화역환승주차장,강서구,서울특별시 강서구 마곡동 739 신방화역환승주차장,37.56153107,126.8106995
1150,송정역 1번출구,강서구,서울특별시 강서구 공항동 22-16 송정초등학교,37.56020737,126.8241425
1151,마곡역1번출구,강서구,서울특별시 강서구 마곡동,37.55831146,126.8265228
1152,마곡역교차로,강서구,서울특별시 강서구 마곡동,37.55894852,126.8371735
1153,"발산역 1번, 9번 인근 대여소",강서구,서울특별시 강서구 등촌동 673-1,37.56925964,126.8484192
1155,기쁜우리복지관,강서구,서울특별시 강서구 가양동,37.55065918,126.8497696
1157,강서구청,강서구,서울특별시 강서구 화곡동 980-16 강서구청,37.56103516,126.8548126
1158,가양역 8번출구,강서구,서울특별시 강서구 가양동 14-61 가양역,37.56585312,126.8465958
1159,서서울모터리움앞,강서구,서울특별시 강서구 가양동 50-5 서서울모터리움,37.56768036,126.8408966
1160,양천향교역 7번출구앞,강서구,서울특별시 강서구 가양동 159-3 양천향교역,37.54969406,126.819664
1161,강서면허시험장앞,강서구,서울특별시 강서구 외발산동 425 강서운전면허시험장만남의광장,37.56267929,126.8204727
1162,공항초등학교건너편,강서구,서울특별시 강서구 마곡동 743-5 서울공항초등학교,37.57049942,126.8200836
