학교이름,주소,위도,경도,행정동명,행정동_코드
면목고등학교,서울 중랑구 용마산로72길 36-14,37.58434155,127.0965972,면목제3.8동,11260575
명덕고등학교,서울 강서구 강서로47길 34-10,37.5538932,126.8354905,발산1동,11500611
명덕여자고등학교,서울 강서구 강서로47길 34-10,37.5538932,126.8354905,발산1동,11500611
명덕외국어고등학교,서울 강서구 강서로47길 34-10,37.5538932,126.8354905,발산1동,11500611
명일여자고등학교,서울 강동구 명일로 350,37.54986805,127.151011,명일2동,11740540
명지고등학교,서울 서대문구 명지2길 56,37.5841049,126.9281067,홍은2동,11410685
목동고등학교,서울 양천구 목동동로2길 68,37.5113215,126.8603794,신정7동,11470680
무학여자고등학교,서울 성동구 고산자로 197,37.5439779,127.0362588,성수1가1동,11200650
문일고등학교,서울 금천구 시흥대로47길 45,37.44922455,126.8991742,시흥1동,11545670
문정고등학교,서울 송파구 송이로34길 62,37.4851203,127.1298992,장지동,11710646
문현고등학교,서울 송파구 충민로 115,37.4811568,127.1289582,장지동,11710646
미래산업과학고등학교,서울 노원구 덕릉로82길 54,37.658586,127.0776331,중계4동,11350624
미림 여자정보과학고등학교,서울 관악구 호암로 546,37.4666114,126.9324851,대학동,11620735
미림여자고등학교,서울 관악구 호암로 546,37.4666114,126.9324851,대학동,11620735
반포고등학교,서울 서초구 고무래로 71,37.5005774,127.0183812,서초4동,11650531
방산고등학교,서울 송파구 오금로27길 18,37.5095359,127.122315,방이1동,11710561
배명고등학교,서울 송파구 삼학사로 11,37.4987937,127.0957363,삼전동,11710610
배문고등학교,서울 용산구 효창원로 258,37.538939,126.9612671,용문동,11170590
배재고등학교,서울 강동구 고덕로 227,37.5561611,127.1510738,고덕1동,11740550
배화여자고등학교,서울 종로구 필운대로1길 34,37.5785452,126.966875,청운효자동,11110515
백암고등학교,서울 양천구 신정로13길 16,0,0,신정3동,NaN
보성고등학교,서울 송파구 양재대로 1278,37.5001856,127.1185973,가락본동,11710620
보성여자고등학교,서울 용산구 신흥로3가길 66,37.5416451,126.9847916,용산2가동,11170520
보인고등학교,서울 송파구 오금로49길 18,37.4971396,127.1386359,오금동,11710570
불암고등학교,서울 노원구 중계로 155,37.6375119,127.0812442,하계1동,11350611
삼각산고등학교,서울 강북구 삼양로19길 40,37.6166184,127.0176922,삼각산동,11305575
삼성고등학교,서울 관악구 신림로 41,37.4709068,126.9419211,서림동,11620665
상계고등학교,서울 노원구 노해로 432,37.6530482,127.0548642,상계6.7동,11350695
상명고등학교,서울 노원구 덕릉로 553,37.6454335,127.0574543,상계6.7동,11350695
상명대학교사범대학 부속여자고등학교,서울 종로구 홍지문2길 20,37.6029659,126.9550092,부암동,11110550
상문고등학교,서울 서초구 명달로 45,37.4775297,127.007041,방배3동,11650620
상암고등학교,서울 마포구 월드컵북로 445,37.5694153,126.9057035,성산2동,11440730
상일미디어고등학교,서울 강동구 천호대로219길 61,37.5481094,127.170782,상일1동,11740525
상일여자고등학교,서울 강동구 천호대로219길 61,37.5481094,127.170782,상일1동,11740525
서라벌고등학교,서울 노원구 한글비석로5길 18,37.64488545,127.0756115,중계1동,11350621
서문여자고등학교,서울 서초구 동광로12길 84,37.4864048,126.982983,방배4동,11650621
서서울생활과학고등학교,서울 구로구 오리로 1355-10,37.4819986,126.8454005,오류2동,11530780
서울 문영여자고등학교,서울 관악구 관악로 85,37.47382085,126.9512214,청룡동,11620595
서울고등학교,서울 서초구 효령로 197,37.4880529,127.026779,서초2동,11650520
서울공업고등학교,서울 동작구 대방동1길 46,37.5015181,126.9225649,대방동,11590660
서울공연예술고등학교,서울 구로구 오리로22나길 16-26,37.5005812,126.8315423,수궁동,11530790
서울과학고등학교,서울 종로구 혜화로 63,37.5875025,126.9998726,혜화동,11110650
서울관광고등학교,서울 관악구 은천로15길 25,37.487173,126.9441294,은천동,11620605
서울국제고등학교,서울 종로구 성균관로13길 40,37.5899446,126.9966775,혜화동,11110650
서울금융고등학교,서울 양천구 가로공원로61길 19,37.5375208,126.8262794,신월3동,11470580
서울다솜관광고등학교,서울 종로구 종로58길 30,37.5724151,127.0172695,숭인2동,11110710
서울대학교사범대학 부설고등학교,서울 성북구 월곡로 6,37.5964405,127.0381623,종암동,11290705
서울도시과학기술고등학교,서울 성북구 종암로 196,37.60722,127.03095,월곡1동,11290715
서울동구고등학교,서울 성북구 성북로8길 71,37.5915303,127.0054742,성북동,11290525
서울동산고등학교,서울 노원구 공릉로 257,37.6393895,127.0693259,하계1동,11350611
서울디자인고등학교,서울 마포구 백범로 139,37.5469645,126.9440979,염리동,11440610
서울디지텍고등학교,서울 용산구 회나무로12길 27,37.5388245,126.9900744,이태원2동,11170660
서울로봇고등학교,서울 강남구 광평로20길 63,37.4816994,127.0864459,일원본동,11680720
서울매그넷고등학교,서울 금천구 탑골로10길 45,37.45199575,126.9166882,시흥2동,11545680
서울문화고등학교,서울 도봉구 마들로 598,37.6605886,127.0488372,창4동,11320514
서울미술고등학교,서울 관악구 남부순환로247길 26,37.4782143,126.9653221,행운동,11620575
서울방송고등학교,서울 성동구 동호로5길 131,0,0,약수동,NaN
서울세종고등학교,서울 강남구 광평로51길 36,37.4901459,127.1014286,수서동,11680750
서울신정고등학교,서울 강서구 등촌로13아길 20,37.5375029,126.8568158,화곡4동,11500570
서울실용음악고등학교,서울 중구 퇴계로88가길 8,37.5628244,127.0228481,신당5동,11140650
서울아이티고등학교,서울 노원구 섬밭로 299,37.63805,127.0646,하계2동,11350612
서울아트고등학교,서울 강남구 학동로 171 삼익악기빌딩 2층,0,0,논현1동,NaN
서울여자고등학교,서울 마포구 백범로25길 34,37.5472923,126.9472142,염리동,11440610
서울여자상업고등학교,서울 관악구 관악로 85,37.47382085,126.9512214,청룡동,11620595
서울영상고등학교,서울 양천구 목동로11길 46,37.5231607,126.862026,신정4동,11470650
서울예술고등학교,서울 종로구 평창문화로 70,37.6115355,126.9797082,평창동,11110560
서울외국어고등학교,서울 도봉구 덕릉로66길 22,37.6445985,127.0522219,창4동,11320514
서울의료보건고등학교,서울 중구 만리재로37길 30,37.5566011,126.9675778,중림동,11140680
서울인공지능고등학교,서울 송파구 양산로 21,37.4928802,127.1443288,거여2동,11710532
서울자동차고등학교,서울 용산구 백범로45길 15,37.5413193,126.9582336,효창동,11170580
서울전자고등학교,서울 서초구 과천대로 852-23,37.4626813,126.9880724,방배2동,11650610
서울정화고등학교,서울 동대문구 홍릉로15길 50,37.5852717,127.0416142,제기동,11230545
서울체육고등학교,서울 송파구 강동대로 232,37.5287657,127.1092124,풍납2동,11710520
서울컨벤션고등학교,서울 강동구 동남로 964,37.5388677,127.1526455,길동,11740685
서울항공비즈니스고등학교,서울 강서구 방화대로34길 13,37.5701427,126.8193294,방화1동,11500630
서일문화예술고등학교,서울 종로구 지봉로17길 49,37.5798339,127.0126864,창신3동,11110690
서초고등학교,서울 서초구 반포대로27길 29,0,0,서초3동,NaN
