매장명,주소
샛별어린이공원,부사하구 낙동대로356번길 55
생곡공원,부강서구 생곡동 1537-2
생활공원,부강서구 생곡동 1531-5
서당골공원,부사상구 모라동 75-15
서명상상어린이공원,부금정구 서동 131-12
서연정공원,부강서구 대저1동 1330-7
석대구민체육공원 농구장,부해운대구 석대동 74
석말공원,부강서구 범방동 1911-16
선비어린이공원,부강서구 지사동 1185-2
세산공원,부강서구 범방동 1916
세실공원,부동래구 명장동 506-18
소공원,부해운대구 석대동 624
소공원,부해운대구 재송동 74-1
소나무공원,부기장군 철마면 고촌리
소담공원,부강서구 신호동 263-1
소담어린이공원,부해운대구 좌동 1376
소두방공원,부기장군 정관읍 방곡리
소두방공원,부기장군 정관읍 정관덕산1길 20
소리공원,부강서구 명지동 3398
소망공원,부기장군 기장읍 교리 346
소소공원,부부산진구 동천로108번길 41
소정공원,부강서구 신호동 234-6
솔마루근린공원,부기장군 정관읍 모전리
솔바람공원,부해운대구 송정동 305-5
솔바람어린이공원,부부산진구 당감동 516-5
솔바람언덕공원,부기장군 기장읍 내리
솔밭공원,부금정구 땅곡길 13
솔밭공원,부금정구 북문로 78-15
솔밭소공원,부해운대구 중동1로17번길 15-10
솔빛공원,부기장군 정관읍 모전리 674
송림공원,부해운대구 우동 704-12
송정공원,부강서구 송정동 1476
송정공원,부해운대구 송정동 288-57
송정솔그늘숲길,부해운대구 송정동 176-4
송정어울림체육공원,부해운대구 송정1로8번길 25-15
솥밭공원,부동래구 온천동 1020-18
솥밭어린이공원,부사하구 다대동 113-16
쇠미소공원,부동래구 사직동 597-93
수련둘공원,부연제구 월드컵대로 55
수련하나공원,부연제구 월드컵대로 55
수령공원,부기장군 기장읍 서부리
수림뜨락,부금정구 수림로 104
수민어울공원,부동래구 낙민동 135-1
수변공원 배드민턴장1,부해운대구 석대동 591-6
수변공원 배드민턴장2,부금정구 동천로 16
수변어린이공원 공영주차장,부수영구 민락동 110-15
수안체육공원,부동래구 수안동 7-11
수영강시민공원,부해운대구 반여동 1502-16
수영공원,부수영구 망미번영로70번길 121-1
수영사적공원,부수영구 수영성로 43
수영환경공원,부동래구 온천천남로 185
수참공원,부강서구 미음동 1684
수피아공원,부해운대구 반송동 525
숲길공원,부강서구 지사동 1279
숲향기공원,부동래구 온천동 1853-9
스위첸공원,부동래구 사직동 1037
스포원파크 가족공원,부금정구 체육공원로399번길 324
승당쌈지공원,부해운대구 우동 1007-2
승학공원,부사상구 학장동 168-9
시민공원치안센터,부부산진구 시민공원로 73
신명공원,부강서구 지사동 1257
신정소공원,부동래구 아시아드대로146번길 1
신평레포츠공원,부사하구 하신번영로 119
신평배수지,부사하구 신평동 19-7
신평소공원,부기장군 일광읍 신평리 11-1
신포나루공원,부강서구 명지동 614-111
신호공원,부강서구 신호동 315-1
신호문화공원,부강서구 르노삼성대로 14
실로암공원묘원,부기장군 철마면 사등길 181
쌈지공원,부부산진구 부전동 517-5
쌈지공원,부사상구 감전동 916-1
쌈지공원,부사하구 다대로119번길 25
쌈지공원,부사하구 장림동
쌈지공원,부사하구 하신번영로 365
쌈지공원,부수영구 황령대로489번길 144
쌍미공원,부연제구 연산동 2272
씨앗어린이공원,부사하구 구평동 501
