매장명,주소
남성초등학교,부산 중구 샘길 14
광일초등학교,부산 중구 중구로 74
보수초등학교,부산 중구 흑교로 74
양운초등학교,부산 해운대구 대천로67번길 36
해원초등학교,부산 해운대구 마린시티2로 10
반안초등학교,부산 해운대구 명장로67번길 40-42
운송초등학교,부산 해운대구 반송로 839
인지초등학교,부산 해운대구 반여로 128
무정초등학교,부산 해운대구 반여로 68-11
삼어초등학교,부산 해운대구 삼어로91번길 73
장산초등학교,부산 해운대구 선수촌로 68
반석초등학교,부산 해운대구 선수촌로207번길 14
좌동초등학교,부산 해운대구 세실로 127
상당초등학교,부산 해운대구 세실로 173
센텀초등학교,부산 해운대구 센텀중앙로 166
운봉초등학교,부산 해운대구 신반송로 11-20
송운초등학교,부산 해운대구 신반송로 20
반송초등학교,부산 해운대구 아랫반송로30번길 37-16
해동초등학교,부산 해운대구 우동1로 104
반산초등학교,부산 해운대구 재반로 171
반여초등학교,부산 해운대구 재반로 301
재송초등학교,부산 해운대구 재반로64번길 33
부흥초등학교,부산 해운대구 좌동순환로 216
신곡초등학교,부산 해운대구 좌동순환로 290
신도초등학교,부산 해운대구 좌동순환로 34
좌산초등학교,부산 해운대구 좌동순환로311번길 7
동백초등학교,부산 해운대구 좌동순환로357번길 6
해송초등학교,부산 해운대구 좌동순환로402번길 32
해운대초등학교,부산 해운대구 중동2로24번길 30
부산송정초등학교,부산 해운대구 해운대로 1164-9
강동초등학교,부산 해운대구 해운대로349번길 10
해림초등학교,부산 해운대구 해운대로469번길 42
송수초등학교,부산 해운대구 해운대로76번길 35
신재초등학교,부산 해운대구 해운대로81번길 55
해강초등학교,부산 해운대구 해운대해변로 73
