facility_nm,mng_agency_nm,gugun,reference_date,lat,lng,instt_code,last_load_dttm
괴정병원,부산광역시 사하구청,부산광역시 사하구,2022-12-31,35.08710676,128.993421,,2023-07-01 5:30
괴정시장종합상가 (괴정시장 정비사업조합),부산광역시 사하구청,부산광역시 사하구,2022-12-31,35.10007828,128.9944889,,2023-07-01 5:30
교보리얼코㈜부산진구점,,,,부산 동구 중앙대로 176,,,
교보생명빌딩,부산광역시 중구청,부산광역시 중구,2022-12-31,35.10564162,129.0372584,,2023-07-01 5:30
구남역,부산광역시 북구청,부산광역시 북구,2022-12-31,35.19692002,128.9949993,,2023-07-01 5:30
구덕공영주차장,부산광역시 서구청,부산광역시 서구,2022-12-31,35.11750257,129.0142228,,2023-07-01 5:30
구명역,부산광역시 북구청,부산광역시 북구,2022-12-31,35.2027471,128.9995029,,2023-07-01 5:30
구서오시게시장,부산광역시 금정구청,부산광역시 금정구,2022-12-31,35.2473642,129.08975,,2023-07-01 5:30
구포부민병원,부산광역시 북구청,부산광역시 북구,2022-12-31,35.19832075,128.9905466,,2023-07-01 5:30
구포성심병원,부산광역시 북구청,부산광역시 북구,2022-12-31,35.20967278,129.0045732,,2023-07-01 5:30
구포일심요양병원,부산광역시 북구청,부산광역시 북구,2022-12-31,35.20463813,128.9955156,,2023-07-01 5:30
국립해양박물관,부산광역시 영도구청,부산광역시 영도구,2022-12-31,35.07856342,129.0802449,,2023-07-01 5:30
국민건강보험공단부산지역본부,부산광역시 북구청,부산광역시 북구,2022-12-31,35.20967612,129.0095508,,2023-07-01 5:30
국민연금관리공단 부산지사,부산광역시 연제구청,부산광역시 연제구,2022-12-31,35.17785982,129.0756461,,2023-07-01 5:30
국제백양상가,,,,부산 부산진구 백양관문로 104-1,,,
국제시장,부산광역시 중구청,부산광역시 중구,2022-12-31,35.10153748,129.0280698,,2023-07-01 5:30
국제지하도상가,부산광역시 중구청,부산광역시 중구,2022-12-31,35.10065718,129.0277077,,2023-07-01 5:30
굿모닝성모안과의원,,,,부산 부산진구 새싹로 2 KB국민은행빌딩 5층,,,
굿윌치과병원,부산광역시 북구청,부산광역시 북구,2022-12-31,35.2124938,129.0047634,,2023-07-01 5:30
그랜드자연요양병원,부산광역시 남구청,부산광역시 남구,2023-01-16,129.0977891,35.14681537,,2023-07-01 5:30
그랜드조선부산,부산광역시 해운대구청,부산광역시 해운대구,2022-12-31,35.168895,129.129747,,2023-07-01 5:30
그림동산어린이집,부산광역시 금정구청,부산광역시 금정구,2022-12-31,35.271833,129.091417,,2023-07-01 5:30
글로벌새싹어린이집,부산광역시 강서구청,강서구,2022-12-22,35.14072,128.94731,,2023-07-01 5:30
글로벌어린이집,부산광역시 남구청,부산광역시 남구,2023-01-16,129.1077413,35.12647943,,2023-07-01 5:30
금강스파,부산광역시 중구청,부산광역시 중구,2022-12-31,35.10217892,129.0247105,,2023-07-01 5:30
금강핼씨랜드,부산광역시 부산진구청,부산진구,2023-01-11,35.1687662,129.0355619,,2023-07-01 5:30
금련산역,부산광역시 수영구청,부산광역시 수영구,2022-12-31,35.14974192,129.1109542,,2023-07-01 5:30
금사역(4호선),부산광역시 금정구청,부산광역시 금정구,2022-12-31,35.215814,129.11515,,2023-07-01 5:30
금샘어린이집,부산광역시 금정구청,부산광역시 금정구,2022-12-31,35.271284,129.085824,,2023-07-01 5:30
금송요양병원,,,,"부산 연제구 중앙대로 1078 뉴그랜드오피스텔 4,5층",,,
금정구청어린이집,부산광역시 금정구청,부산광역시 금정구,2022-12-31,35.242843,129.092203,,2023-07-01 5:30
금정노인요양원,부산광역시 금정구청,부산광역시 금정구,2022-12-31,35.277653,129.089029,,2023-07-01 5:30
금정도서관,부산광역시 금정구청,부산광역시 금정구,2022-12-31,35.2726,129.096188,,2023-07-01 5:30
금정문화회관(실내주차장),부산광역시 금정구청,부산광역시 금정구,2022-12-31,35.245908,129.094404,,2023-07-01 5:30
금정산뉴웰시티어린이집,부산광역시 북구청,부산광역시 북구,2022-12-31,35.216009,129.036579,,2023-07-01 5:30
