매장명,위도,경도
일신기독병원 산후조리원,35.13546,129.05476
일신기독병원(주차장),35.135469,129.054803
일신기독병원(의료),35.135549,129.054119
부산진시장,35.136536,129.058753
행복누리어린이집,35.136653,129.06505
눌원빌딩,35.136702,129.065061
메가마트,35.13725731,129.1109928
메가마트 실내주차장,35.13725731,129.1109928
학장반도보라프라자,35.13729145,128.9791721
학장반도아파트상가,35.13729145,128.9791721
효산건설 범일동지점,35.137462,129.064598
부산진시장 주차빌딩,35.137632,129.058126
KT부산범일타워,35.137726,129.062509
천우빌딩(구 부산상록회관),35.13782,129.063991
힘내라병원,35.13791,129.058859
엠존 PC방,35.13802514,128.9776413
동부산우체국,35.138261,129.062325
KB손해보험부산빌딩,35.138303,129.064113
아테나PC방,35.13849923,128.977924
(재)한국의학연구소,35.138705,129.063454
동일타워,35.138705,129.063454
아이린 PC학장 본점,35.13882566,128.9788827
스푼 PC방,35.13889555,129.1082938
PC토랑,35.138929,129.061054
부산시민회관,35.138948,129.06521
동일타워,35.138986,129.063733
한나여성아이병원,35.13916897,129.1069807
범일초등학교지하주차장,35.139232,129.050016
주식회사 이지네트웍스,35.139246,129.062724
청솔어린이집,35.13941078,128.9788726
부산혜민요양병원,35.140064,129.056898
부산해수탕,35.140598,129.062354
(주)영해종합시장,35.1407094,128.9879641
의료법인영재의료재단 큰솔병원,35.1407168,128.9824424
글로벌새싹어린이집,35.14072,128.94731
좋은문화병원 산후조리원,35.140737,129.058621
좋은문화병원,35.140819,129.058983
자유시장,35.140991,129.061106
PC토랑,35.14113491,128.9885972
남천어린이집,35.14120818,129.1097078
부영병원,35.14121421,128.9840247
현대백화점 부산점,35.141309,129.058623
현대백화점 부산점,35.141362,129.058676
마트월드,35.1413743,128.9705571
마트월드,35.1413743,128.9705571
㈜시민장례식장,35.1416249,129.0632007
누리엔,35.1417451,129.061215
누리엔,35.1417451,129.061215
조방해수탕,35.1418595,129.0626584
효성해수탕,35.1418782,129.0615514
성가병원,35.1420626,129.0590277
의료법인영재의료재단 큰솔2병원,35.14360299,128.9872501
주례초등학교 지하공영주차장,35.1455297,129.0186756
송원노인전문요양원,35.145607,129.043948
동의대학교부속동의어린이집,35.1459356,129.035277
다온요양병원,35.14601118,129.1069088
주례현대무지개 상가,35.14618179,129.0052027
한별어린이집,35.14618179,129.0052027
인제대학교부산백병원,35.1462564,129.0208401
동성럭키어린이집,35.14636276,129.003731
남천사랑의요양병원,35.14643957,129.1103276
부산전문건설회관,35.1470921,129.0625519
애림실버웰,35.1472186,129.0452097
애림요양원,35.1472186,129.0452097
의료법인 상봉의료재단 상봉요양병원,35.1473587,129.0608236
다누리센터 공영부설주차장,35.14738137,128.995023
가야벽산상가,35.1475431,129.0251614
